pat1,pat2,pat3,pat4,pat5,pat6,pat7,pat8,pat9,pat10,pat11,pat12,pat13,pat14,pat15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340273,7.2046,1.6105,5.3325,0.7746,0,1.6045,51.3883,0.34,1082.98,0,0,180.825,1.1312,1.9307,292.893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
10058,1821.48,454.433,973.888,947.544,841.538,3825.66,1039.46,1042.7,738.24,802.322,424.968,727.943,2377.84,632.814,767.158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
22,199.328,529.459,495.334,185.902,282.223,280.385,210.941,247.506,493.129,377.409,401.399,506.675,200.226,419.346,346.097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
11194,917.387,1460.74,2292.4,2747.48,953.968,1592.86,1040.2,2604.59,1905.92,997.661,1134.86,2038.23,884.05,5059.95,3724.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
23457,185.913,204.081,308.683,690.186,241.448,217.252,600.021,543.397,553.605,115.473,564.198,297.7,408.665,500.276,500.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
89845,808.357,784.324,661.828,879.163,1758.72,1018.85,601.326,603.805,1314.48,437.563,1377.86,380.461,998.869,423.979,284.831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
85320,3.3622,2.0132,5.3325,6.9713,7.824,3.209,1.6577,4.0798,2.1142,0.8912,2.5445,4.2476,3.9593,5.4059,9.6735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
94160,0,0,0,0,0,0,2.0721,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
150000,0,0,0,0,0,1.2034,0.4144,0,0,0.4456,0,0,0,0.3861,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
4363,930.355,2129.11,2451.19,2474.83,2374.02,1443.24,1485.29,2349.94,2952.96,2105.83,2356.87,1422.94,632.919,2884.45,1983.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
1244,3.8425,4.4289,17.7751,167.312,8.3829,33.2932,36.4691,7.1396,3.1712,8.0205,199.745,24.2718,3.3937,35.9108,8.5987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
8714,679.635,1107.64,7083.4,8491.87,268.81,3857.6,153.336,315.162,2650.11,1677.17,847.964,2545.51,3021.49,5421.37,10493.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
10257,173.391,208.965,82.3582,21.6886,76.0045,54.5527,215.914,92.1346,148.52,101.147,114.504,49.1505,41.2896,108.891,117.157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
10057,1212.78,1523.55,1316.55,1792.41,738.808,2687.53,882.719,963.844,1050.74,1077.87,876.59,936.893,990.385,1058.4,597.071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
